group_id,repr_time,anchor_onset_time,time_start,time_end,group_span_h,n_trigger_events,n_trigger_stations,trigger_stations,trigger_drop_mean,trigger_drop_max,trigger_A_complex_mean,onset_min,onset_max,min_time_min,min_time_max,n_supported_stations,supported_stations,n_support_only_stations,support_only_stations,mean_supported_drop,median_supported_drop,max_supported_drop,catalog_tier,fd_scope,quality,promoted_from_single_trigger,year
1,2018-02-02 16:14:00+00:00,2018-02-02 06:28:00+00:00,2018-02-02 06:28:00+00:00,2018-02-02 16:14:00+00:00,9.766666666666667,1,1,LMKS,2.767625697029872,2.767625697029872,7.352764889470553,2018-02-02 06:28:00+00:00,2018-02-02 06:28:00+00:00,2018-02-02 16:14:00+00:00,2018-02-02 16:14:00+00:00,2,"JUNG1,LMKS",1,JUNG1,2.834845103240821,2.834845103240821,2.9020645094517694,core,supported_multi_station_candidate,B,True,2018
2,2018-02-04 22:22:00+00:00,2018-02-03 23:46:00+00:00,2018-02-03 20:08:00+00:00,2018-02-05 18:48:00+00:00,46.666666666666664,3,3,"AATB,KERG,OULU",4.43448487090505,6.493945048968586,5.332112344375504,2018-02-03 20:08:00+00:00,2018-02-04 16:30:00+00:00,2018-02-04 13:44:00+00:00,2018-02-05 18:48:00+00:00,5,"AATB,APTY,KERG,LMKS,OULU",2,"APTY,LMKS",4.334401920422441,4.080098436106756,6.493945048968586,core,supported_multi_station_candidate,A,False,2018
3,2018-02-09 06:06:00+00:00,2018-02-08 11:03:00+00:00,2018-02-07 16:24:00+00:00,2018-02-09 11:52:00+00:00,43.46666666666667,2,2,"AATB,JUNG1",3.142495051001082,3.6918200661591545,8.994683133150474,2018-02-07 16:24:00+00:00,2018-02-09 05:42:00+00:00,2018-02-09 00:20:00+00:00,2018-02-09 11:52:00+00:00,3,"AATB,APTY,JUNG1",1,APTY,3.4228924180839857,3.6918200661591545,3.9836871522497925,core,supported_multi_station_candidate,B,False,2018
5,2018-02-16 22:18:00+00:00,2018-02-15 23:57:00+00:00,2018-02-15 13:56:00+00:00,2018-02-16 23:34:00+00:00,33.63333333333333,2,2,"DOMC,KERG",7.548117184069877,10.822419254809182,6.174975478447662,2018-02-15 13:56:00+00:00,2018-02-16 09:58:00+00:00,2018-02-16 21:02:00+00:00,2018-02-16 23:34:00+00:00,9,"AATB,APTY,DOMC,INVK,KERG,LMKS,MXCO,NEWK,OULU",7,"AATB,APTY,INVK,LMKS,MXCO,NEWK,OULU",5.0073711614518235,4.215202149053795,10.822419254809182,core,supported_multi_station_candidate,A,False,2018
7,2018-02-21 08:24:00+00:00,2018-02-20 15:48:00+00:00,2018-02-20 15:48:00+00:00,2018-02-21 08:24:00+00:00,16.6,1,1,LMKS,2.2886632404821547,2.2886632404821547,2.622392449259189,2018-02-20 15:48:00+00:00,2018-02-20 15:48:00+00:00,2018-02-21 08:24:00+00:00,2018-02-21 08:24:00+00:00,2,"KERG,LMKS",1,KERG,2.723366321242131,2.723366321242131,3.158069402002108,core,supported_multi_station_candidate,B,True,2018
8,2018-02-23 19:42:00+00:00,2018-02-23 03:12:00+00:00,2018-02-22 13:44:00+00:00,2018-02-23 23:12:00+00:00,33.46666666666667,3,3,"AATB,JUNG1,NEWK",3.9951999071244533,5.2029065619507096,6.717402325507231,2018-02-22 13:44:00+00:00,2018-02-23 07:04:00+00:00,2018-02-23 19:34:00+00:00,2018-02-23 23:12:00+00:00,8,"AATB,APTY,INVK,JUNG1,KERG,LMKS,MXCO,NEWK",5,"APTY,INVK,KERG,LMKS,MXCO",3.7770764810419877,3.621671529062195,5.2029065619507096,core,supported_multi_station_candidate,A,False,2018
9,2018-03-03 14:54:00+00:00,2018-03-03 02:18:00+00:00,2018-03-03 02:18:00+00:00,2018-03-03 14:54:00+00:00,12.6,1,1,INVK,4.044625274091113,4.044625274091113,5.52903264073413,2018-03-03 02:18:00+00:00,2018-03-03 02:18:00+00:00,2018-03-03 14:54:00+00:00,2018-03-03 14:54:00+00:00,3,"AATB,INVK,OULU",2,"AATB,OULU",3.9131334671783455,4.044625274091113,4.562081369318781,core,supported_multi_station_candidate,B,True,2018
10,2018-03-07 09:29:00+00:00,2018-03-06 10:25:00+00:00,2018-03-04 17:14:00+00:00,2018-03-09 18:26:00+00:00,121.2,4,4,"AATB,KERG,LMKS,NEWK",3.8020800833851145,6.1537284628097675,5.4266278105921,2018-03-04 17:14:00+00:00,2018-03-08 08:52:00+00:00,2018-03-06 00:14:00+00:00,2018-03-09 18:26:00+00:00,5,"AATB,JUNG1,KERG,LMKS,NEWK",1,JUNG1,3.8431787131817097,3.700710631366185,6.1537284628097675,core,supported_multi_station_candidate,A,False,2018
11,2018-03-17 12:54:00+00:00,2018-03-16 03:18:00+00:00,2018-03-15 09:32:00+00:00,2018-03-18 08:44:00+00:00,71.2,5,5,"AATB,JUNG1,KERG,LMKS,NEWK",3.6301429800162106,4.772480432703295,5.762154341969763,2018-03-15 09:32:00+00:00,2018-03-17 17:38:00+00:00,2018-03-16 12:42:00+00:00,2018-03-18 08:44:00+00:00,6,"AATB,INVK,JUNG1,KERG,LMKS,NEWK",1,INVK,3.599067056241821,3.5433580847657593,4.772480432703295,core,supported_multi_station_candidate,A,False,2018
12,2018-03-23 05:22:00+00:00,2018-03-22 04:52:00+00:00,2018-03-21 20:08:00+00:00,2018-03-24 19:22:00+00:00,71.23333333333333,5,5,"AATB,DOMC,INVK,KERG,NEWK",4.946458497867203,9.633895801506904,4.346005776280279,2018-03-21 20:08:00+00:00,2018-03-23 21:52:00+00:00,2018-03-22 02:12:00+00:00,2018-03-24 19:22:00+00:00,10,"AATB,APTY,DOMC,INVK,JUNG1,KERG,LMKS,MXCO,NEWK,OULU",5,"APTY,JUNG1,LMKS,MXCO,OULU",4.576132168463509,4.364951280963792,9.633895801506904,core,supported_multi_station_candidate,A,False,2018
