group_id,repr_time,anchor_onset_time,time_start,time_end,group_span_h,n_trigger_events,n_trigger_stations,trigger_stations,trigger_drop_mean,trigger_drop_max,trigger_A_complex_mean,onset_min,onset_max,min_time_min,min_time_max,n_supported_stations,supported_stations,n_support_only_stations,support_only_stations,mean_supported_drop,median_supported_drop,max_supported_drop,catalog_tier,fd_scope,quality,promoted_from_single_trigger,year
4,2018-02-13 19:58:00+00:00,2018-02-13 13:02:00+00:00,2018-02-13 13:02:00+00:00,2018-02-13 19:58:00+00:00,6.933333333333334,1,1,KERG,3.785752991812168,3.785752991812168,5.420930221394485,2018-02-13 13:02:00+00:00,2018-02-13 13:02:00+00:00,2018-02-13 19:58:00+00:00,2018-02-13 19:58:00+00:00,1,KERG,0,,3.785752991812168,3.785752991812168,3.785752991812168,exploratory,single_station_candidate,C,False,2018
6,2018-02-18 00:28:00+00:00,2018-02-17 22:22:00+00:00,2018-02-17 22:22:00+00:00,2018-02-18 00:28:00+00:00,2.1,1,1,KERG,3.7399791670500857,3.7399791670500857,3.1037643863755773,2018-02-17 22:22:00+00:00,2018-02-17 22:22:00+00:00,2018-02-18 00:28:00+00:00,2018-02-18 00:28:00+00:00,1,KERG,0,,3.7399791670500857,3.7399791670500857,3.7399791670500857,exploratory,single_station_candidate,C,False,2018
15,2018-04-14 19:10:00+00:00,2018-04-13 16:22:00+00:00,2018-04-13 16:22:00+00:00,2018-04-14 19:10:00+00:00,26.8,1,1,KERG,3.806523217349288,3.806523217349288,5.500282741730465,2018-04-13 16:22:00+00:00,2018-04-13 16:22:00+00:00,2018-04-14 19:10:00+00:00,2018-04-14 19:10:00+00:00,1,KERG,0,,3.806523217349288,3.806523217349288,3.806523217349288,exploratory,single_station_candidate,C,False,2018
18,2018-04-24 01:44:00+00:00,2018-04-22 17:42:00+00:00,2018-04-22 17:42:00+00:00,2018-04-24 01:44:00+00:00,32.03333333333333,1,1,JUNG1,2.987627115116271,2.987627115116271,7.609422159478712,2018-04-22 17:42:00+00:00,2018-04-22 17:42:00+00:00,2018-04-24 01:44:00+00:00,2018-04-24 01:44:00+00:00,1,JUNG1,0,,2.987627115116271,2.987627115116271,2.987627115116271,exploratory,single_station_candidate,C,False,2018
19,2018-04-26 07:08:00+00:00,2018-04-25 00:20:00+00:00,2018-04-25 00:20:00+00:00,2018-04-26 07:08:00+00:00,30.8,1,1,LMKS,3.1374405831750005,3.1374405831750005,6.527062055236917,2018-04-25 00:20:00+00:00,2018-04-25 00:20:00+00:00,2018-04-26 07:08:00+00:00,2018-04-26 07:08:00+00:00,1,LMKS,0,,3.1374405831750005,3.1374405831750005,3.1374405831750005,exploratory,single_station_candidate,C,False,2018
30,2018-06-05 00:18:00+00:00,2018-06-04 22:26:00+00:00,2018-06-04 22:26:00+00:00,2018-06-05 00:18:00+00:00,1.8666666666666667,1,1,APTY,3.3281076715886844,3.3281076715886844,4.996928696205997,2018-06-04 22:26:00+00:00,2018-06-04 22:26:00+00:00,2018-06-05 00:18:00+00:00,2018-06-05 00:18:00+00:00,1,APTY,0,,3.3281076715886844,3.3281076715886844,3.3281076715886844,exploratory,single_station_candidate,C,False,2018
36,2018-06-27 19:00:00+00:00,2018-06-27 09:24:00+00:00,2018-06-27 09:24:00+00:00,2018-06-27 19:00:00+00:00,9.6,1,1,LMKS,2.29712809547653,2.29712809547653,9.326997558104548,2018-06-27 09:24:00+00:00,2018-06-27 09:24:00+00:00,2018-06-27 19:00:00+00:00,2018-06-27 19:00:00+00:00,1,LMKS,0,,2.29712809547653,2.29712809547653,2.29712809547653,exploratory,single_station_candidate,C,False,2018
44,2018-07-30 06:52:00+00:00,2018-07-29 07:58:00+00:00,2018-07-29 07:58:00+00:00,2018-07-30 06:52:00+00:00,22.9,1,1,AATB,2.323916149691557,2.323916149691557,6.449266751438535,2018-07-29 07:58:00+00:00,2018-07-29 07:58:00+00:00,2018-07-30 06:52:00+00:00,2018-07-30 06:52:00+00:00,1,AATB,0,,2.323916149691557,2.323916149691557,2.323916149691557,exploratory,single_station_candidate,C,False,2018
45,2018-08-02 23:52:00+00:00,2018-08-01 23:50:00+00:00,2018-08-01 23:50:00+00:00,2018-08-02 23:52:00+00:00,24.033333333333335,1,1,KERG,2.9926244862691633,2.9926244862691633,3.816689875334264,2018-08-01 23:50:00+00:00,2018-08-01 23:50:00+00:00,2018-08-02 23:52:00+00:00,2018-08-02 23:52:00+00:00,1,KERG,0,,2.9926244862691633,2.9926244862691633,2.9926244862691633,exploratory,single_station_candidate,C,False,2018
47,2018-08-08 00:56:00+00:00,2018-08-07 12:42:00+00:00,2018-08-07 12:42:00+00:00,2018-08-08 00:56:00+00:00,12.233333333333333,1,1,KERG,4.162914839291343,4.162914839291343,4.440749346591776,2018-08-07 12:42:00+00:00,2018-08-07 12:42:00+00:00,2018-08-08 00:56:00+00:00,2018-08-08 00:56:00+00:00,1,KERG,0,,4.162914839291343,4.162914839291343,4.162914839291343,exploratory,single_station_candidate,C,False,2018
52,2018-08-29 15:02:00+00:00,2018-08-29 11:30:00+00:00,2018-08-29 11:30:00+00:00,2018-08-29 15:02:00+00:00,3.533333333333333,1,1,KERG,2.997612289246661,2.997612289246661,3.286972840221781,2018-08-29 11:30:00+00:00,2018-08-29 11:30:00+00:00,2018-08-29 15:02:00+00:00,2018-08-29 15:02:00+00:00,1,KERG,0,,2.997612289246661,2.997612289246661,2.997612289246661,exploratory,single_station_candidate,C,False,2018
56,2018-09-14 16:28:00+00:00,2018-09-14 13:36:00+00:00,2018-09-14 13:36:00+00:00,2018-09-14 16:28:00+00:00,2.8666666666666667,1,1,LMKS,2.1420921306974736,2.1420921306974736,6.463682754088841,2018-09-14 13:36:00+00:00,2018-09-14 13:36:00+00:00,2018-09-14 16:28:00+00:00,2018-09-14 16:28:00+00:00,1,LMKS,0,,2.1420921306974736,2.1420921306974736,2.1420921306974736,exploratory,single_station_candidate,C,False,2018
58,2018-09-27 00:12:00+00:00,2018-09-25 22:42:00+00:00,2018-09-25 22:42:00+00:00,2018-09-27 00:12:00+00:00,25.5,1,1,KERG,5.2375858929592845,5.2375858929592845,8.686273554644044,2018-09-25 22:42:00+00:00,2018-09-25 22:42:00+00:00,2018-09-27 00:12:00+00:00,2018-09-27 00:12:00+00:00,1,KERG,0,,5.2375858929592845,5.2375858929592845,5.2375858929592845,exploratory,single_station_candidate,C,False,2018
62,2018-10-09 09:14:00+00:00,2018-10-08 19:10:00+00:00,2018-10-08 19:10:00+00:00,2018-10-09 09:14:00+00:00,14.066666666666666,1,1,LMKS,2.4582581985841228,2.4582581985841228,5.965064307383819,2018-10-08 19:10:00+00:00,2018-10-08 19:10:00+00:00,2018-10-09 09:14:00+00:00,2018-10-09 09:14:00+00:00,1,LMKS,0,,2.4582581985841228,2.4582581985841228,2.4582581985841228,exploratory,single_station_candidate,C,False,2018
