Date of event,t_izmiran,repr_time,dt_hours,n_supported_stations,n_support_only_stations,supported_stations,support_only_stations,quality,mean_supported_drop,promoted_from_single_trigger
2019.09.06 02:00:00,2019-09-06 02:00:00+00:00,2019-09-06 02:06:00+00:00,0.1,2,1,"INVK,JUNG1",JUNG1,B,3.504637398393486,True
2019.10.07 12:00:00,2019-10-07 12:00:00+00:00,2019-10-07 11:38:00+00:00,-0.36666666666666664,3,2,"INVK,JUNG1,KERG","INVK,JUNG1",B,3.5226305423966235,True
2019.01.15 11:00:00,2019-01-15 11:00:00+00:00,2019-01-15 10:20:00+00:00,-0.6666666666666666,5,1,"AATB,DOMC,JUNG1,KERG,LMKS",JUNG1,A,4.006130477389014,False
2019.05.03 18:00:00,2019-05-03 18:00:00+00:00,2019-05-03 17:06:00+00:00,-0.9,3,2,"AATB,JUNG1,OULU","AATB,OULU",B,3.4767909161781527,True
2019.04.09 22:00:00,2019-04-09 22:00:00+00:00,2019-04-10 00:24:00+00:00,2.4,4,3,"AATB,INVK,JUNG1,LMKS","INVK,JUNG1,LMKS",A,2.88699430433556,True
2019.04.26 22:00:00,2019-04-26 22:00:00+00:00,2019-04-26 19:20:00+00:00,-2.6666666666666665,2,1,"JUNG1,KERG",KERG,B,3.780023370342929,True
2019.05.23 05:00:00,2019-05-23 05:00:00+00:00,2019-05-23 07:44:00+00:00,2.7333333333333334,4,3,"AATB,DOMC,LMKS,NEWK","AATB,DOMC,LMKS",A,5.336987648822216,True
2019.12.23 23:00:00,2019-12-23 23:00:00+00:00,2019-12-24 02:38:00+00:00,3.6333333333333333,2,1,"KERG,LMKS",KERG,B,2.825664920280519,True
2019.06.27 12:00:00,2019-06-27 12:00:00+00:00,2019-06-27 15:56:00+00:00,3.933333333333333,2,1,"JUNG1,LMKS",LMKS,B,3.0984495569205053,True
2019.11.13 02:00:00,2019-11-13 02:00:00+00:00,2019-11-12 21:03:00+00:00,-4.95,4,2,"AATB,APTY,KERG,LMKS","APTY,KERG",A,3.762328953115117,False
2019.10.09 20:00:00,2019-10-09 20:00:00+00:00,2019-10-10 01:54:00+00:00,5.9,3,1,"APTY,JUNG1,KERG",KERG,B,3.4469694349844544,False
2019.08.20 02:00:00,2019-08-20 02:00:00+00:00,2019-08-19 19:40:00+00:00,-6.333333333333333,4,3,"INVK,JUNG1,KERG,LMKS","JUNG1,KERG,LMKS",A,3.37255115489236,True
2019.02.27 08:00:00,2019-02-27 08:00:00+00:00,2019-02-27 14:58:00+00:00,6.966666666666667,3,2,"AATB,KERG,LMKS","KERG,LMKS",B,2.9497173844681104,True
2019.10.24 08:00:00,2019-10-24 08:00:00+00:00,2019-10-24 15:45:00+00:00,7.75,4,2,"AATB,APTY,INVK,KERG","INVK,KERG",A,4.152478058970038,False
2019.07.04 18:00:00,2019-07-04 18:00:00+00:00,2019-07-05 01:48:00+00:00,7.8,3,2,"APTY,KERG,LMKS","APTY,KERG",B,3.2378196295023596,True
2019.05.01 13:00:00,2019-05-01 13:00:00+00:00,2019-05-01 20:52:00+00:00,7.866666666666666,3,2,"AATB,JUNG1,KERG","AATB,JUNG1",B,2.8343341790709125,True
2019.02.08 08:00:00,2019-02-08 08:00:00+00:00,2019-02-08 17:01:00+00:00,9.016666666666667,4,2,"INVK,JUNG1,KERG,LMKS","INVK,LMKS",A,3.2311086241939675,False
2019.03.19 04:00:00,2019-03-19 04:00:00+00:00,2019-03-18 18:52:00+00:00,-9.133333333333333,2,1,"AATB,JUNG1",AATB,B,3.1681447512273855,True
2019.03.26 23:00:00,2019-03-26 23:00:00+00:00,2019-03-26 13:52:00+00:00,-9.133333333333333,6,3,"AATB,INVK,JUNG1,KERG,LMKS,NEWK","INVK,JUNG1,NEWK",A,3.804599859770183,False
2019.01.10 14:00:00,2019-01-10 14:00:00+00:00,2019-01-11 00:02:00+00:00,10.033333333333333,5,4,"DOMC,JUNG1,KERG,LMKS,NEWK","DOMC,JUNG1,LMKS,NEWK",A,4.991722503583702,True
