idx_izmiran,idx_catalog,dt_hours,subset,Date of event,MagnM,Axym,Azrange,TminM,DminM,OType,Bmax,Bzmin,Vmax,Dstmin,t_izmiran,group_id,repr_time,anchor_onset_time,time_start,time_end,group_span_h,n_trigger_events,n_trigger_stations,trigger_stations,trigger_drop_mean,trigger_drop_max,trigger_A_complex_mean,onset_min,onset_max,min_time_min,min_time_max,n_supported_stations,supported_stations,n_support_only_stations,support_only_stations,mean_supported_drop,median_supported_drop,max_supported_drop,catalog_tier,fd_scope,quality,promoted_from_single_trigger,year
70,54,0.0,all,2019.08.05 01:00:00,1.5,1.12,1.67,18,-0.29,9,17.1,-5.1,722.0,-53.0,2019-08-05 01:00:00+00:00,140,2019-08-05 01:00:00+00:00,2019-08-04 04:48:00+00:00,2019-08-03 10:14:00+00:00,2019-08-05 22:34:00+00:00,60.333333333333336,5,5,"APTY,INVK,JUNG1,KERG,LMKS",3.582951443980032,4.8952708901385025,5.906762465450146,2019-08-03 10:14:00+00:00,2019-08-04 11:16:00+00:00,2019-08-03 23:00:00+00:00,2019-08-05 22:34:00+00:00,5,"APTY,INVK,JUNG1,KERG,LMKS",0,,3.5829514439800314,3.610401476202201,4.8952708901385025,core,supported_multi_station_candidate,A,False,2019
81,62,0.1,all,2019.09.06 02:00:00,0.6,0.58,0.66,7,-0.25,9,5.7,-2.7,541.0,-22.0,2019-09-06 02:00:00+00:00,148,2019-09-06 02:06:00+00:00,2019-09-04 20:34:00+00:00,2019-09-04 20:34:00+00:00,2019-09-06 02:06:00+00:00,29.533333333333335,1,1,INVK,3.8944180646299227,3.8944180646299227,3.9758144569192613,2019-09-04 20:34:00+00:00,2019-09-04 20:34:00+00:00,2019-09-06 02:06:00+00:00,2019-09-06 02:06:00+00:00,2,"INVK,JUNG1",1,JUNG1,3.504637398393486,3.504637398393486,3.8944180646299227,core,supported_multi_station_candidate,B,True,2019
93,70,-0.36666666666666664,all,2019.10.07 12:00:00,0.4,0.73,0.62,8,-0.17,9,5.6,-3.4,410.0,-11.0,2019-10-07 12:00:00+00:00,156,2019-10-07 11:38:00+00:00,2019-10-06 22:38:00+00:00,2019-10-06 22:38:00+00:00,2019-10-07 11:38:00+00:00,13.0,1,1,KERG,3.7305578200448717,3.7305578200448717,5.62470151467277,2019-10-06 22:38:00+00:00,2019-10-06 22:38:00+00:00,2019-10-07 11:38:00+00:00,2019-10-07 11:38:00+00:00,3,"INVK,JUNG1,KERG",2,"INVK,JUNG1",3.5226305423966235,3.421717322634458,3.7305578200448717,core,supported_multi_station_candidate,B,True,2019
4,5,-0.6666666666666666,all,2019.01.15 11:00:00,0.4,1.06,0.57,15,-0.19,9,7.7,-2.6,417.0,-7.0,2019-01-15 11:00:00+00:00,91,2019-01-15 10:20:00+00:00,2019-01-14 05:24:00+00:00,2019-01-13 07:54:00+00:00,2019-01-16 23:24:00+00:00,87.5,4,4,"AATB,DOMC,KERG,LMKS",4.3065062537133905,8.123479933471211,4.934442716891003,2019-01-13 07:54:00+00:00,2019-01-16 02:22:00+00:00,2019-01-14 18:28:00+00:00,2019-01-16 23:24:00+00:00,5,"AATB,DOMC,JUNG1,KERG,LMKS",1,JUNG1,4.006130477389014,3.234473966588331,8.123479933471211,core,supported_multi_station_candidate,A,False,2019
36,33,-0.9,all,2019.05.03 18:00:00,0.4,0.97,0.94,11,-0.19,9,9.8,-4.0,505.0,-22.0,2019-05-03 18:00:00+00:00,119,2019-05-03 17:06:00+00:00,2019-05-03 00:06:00+00:00,2019-05-03 00:06:00+00:00,2019-05-03 17:06:00+00:00,17.0,1,1,JUNG1,3.7633628461932056,3.7633628461932056,5.4586952045943455,2019-05-03 00:06:00+00:00,2019-05-03 00:06:00+00:00,2019-05-03 17:06:00+00:00,2019-05-03 17:06:00+00:00,3,"AATB,JUNG1,OULU",2,"AATB,OULU",3.4767909161781527,3.7633628461932056,4.665155635813487,core,supported_multi_station_candidate,B,True,2019
28,28,2.4,all,2019.04.09 22:00:00,0.7,0.67,0.69,70,-0.19,9,8.2,-3.8,459.0,-34.0,2019-04-09 22:00:00+00:00,114,2019-04-10 00:24:00+00:00,2019-04-09 13:50:00+00:00,2019-04-09 13:50:00+00:00,2019-04-10 00:24:00+00:00,10.566666666666666,1,1,AATB,2.1274245347908947,2.1274245347908947,6.322727992062908,2019-04-09 13:50:00+00:00,2019-04-09 13:50:00+00:00,2019-04-10 00:24:00+00:00,2019-04-10 00:24:00+00:00,4,"AATB,INVK,JUNG1,LMKS",3,"INVK,JUNG1,LMKS",2.88699430433556,2.7648983910546843,3.8907559004419756,core,supported_multi_station_candidate,A,True,2019
73,56,2.466666666666667,all,2019.08.13 02:00:00,0.5,0.85,0.66,6,-0.18,9,6.8,-2.8,491.0,-18.0,2019-08-13 02:00:00+00:00,142,2019-08-13 04:28:00+00:00,2019-08-12 08:35:00+00:00,2019-08-12 08:02:00+00:00,2019-08-13 07:08:00+00:00,23.1,2,2,"JUNG1,KERG",3.096762686057091,3.304450585005096,7.456503833844957,2019-08-12 08:02:00+00:00,2019-08-12 09:08:00+00:00,2019-08-13 01:48:00+00:00,2019-08-13 07:08:00+00:00,2,"JUNG1,KERG",0,,3.096762686057091,3.096762686057091,3.304450585005096,core,supported_multi_station_candidate,B,False,2019
34,30,-2.6666666666666665,all,2019.04.26 22:00:00,0.4,0.72,0.63,10,-0.27,9,6.0,-2.8,390.0,-14.0,2019-04-26 22:00:00+00:00,116,2019-04-26 19:20:00+00:00,2019-04-25 20:10:00+00:00,2019-04-25 20:10:00+00:00,2019-04-26 19:20:00+00:00,23.166666666666668,1,1,JUNG1,3.92423191186402,3.92423191186402,7.216116532704393,2019-04-25 20:10:00+00:00,2019-04-25 20:10:00+00:00,2019-04-26 19:20:00+00:00,2019-04-26 19:20:00+00:00,2,"JUNG1,KERG",1,KERG,3.780023370342929,3.780023370342929,3.92423191186402,core,supported_multi_station_candidate,B,True,2019
43,38,2.7333333333333334,all,2019.05.23 05:00:00,0.5,0.7,0.51,32,-0.18,9,6.5,-4.0,357.0,-21.0,2019-05-23 05:00:00+00:00,124,2019-05-23 07:44:00+00:00,2019-05-22 17:58:00+00:00,2019-05-22 17:58:00+00:00,2019-05-23 07:44:00+00:00,13.766666666666667,1,1,NEWK,5.246184938788195,5.246184938788195,10.753862139455137,2019-05-22 17:58:00+00:00,2019-05-22 17:58:00+00:00,2019-05-23 07:44:00+00:00,2019-05-23 07:44:00+00:00,4,"AATB,DOMC,LMKS,NEWK",3,"AATB,DOMC,LMKS",5.336987648822216,4.89777789998444,9.088150641972922,core,supported_multi_station_candidate,A,True,2019
121,87,3.6333333333333333,all,2019.12.23 23:00:00,0.4,0.78,0.94,17,-0.12,9,5.4,-2.0,350.0,-14.0,2019-12-23 23:00:00+00:00,173,2019-12-24 02:38:00+00:00,2019-12-23 14:20:00+00:00,2019-12-23 14:20:00+00:00,2019-12-24 02:38:00+00:00,12.3,1,1,LMKS,2.613632399385573,2.613632399385573,4.32887909911621,2019-12-23 14:20:00+00:00,2019-12-23 14:20:00+00:00,2019-12-24 02:38:00+00:00,2019-12-24 02:38:00+00:00,2,"KERG,LMKS",1,KERG,2.825664920280519,2.825664920280519,3.0376974411754656,core,supported_multi_station_candidate,B,True,2019
