repr_time,n_stations,stations,drop_mean,drop_max,A_complex_mean,A_complex_max
2018-01-01 19:32:00,2,"APTY,INVK",3.7755394504102933,4.133120172792347,4.517049301985735,5.525708607583369
2018-01-02 19:30:00,5,"AATB,DOMC,JUNG1,NEWK,OULU",4.543192931522362,6.86584795405811,4.641459283059472,8.011325891761555
2018-01-03 20:24:00,1,LMKS,2.6142544346997103,2.6142544346997103,4.737727703203258,4.737727703203258
2018-01-04 19:28:00,5,"AATB,DOMC,INVK,JUNG1,NEWK",4.48235824345208,11.818695470558131,3.6535333331925086,4.111073767372723
2018-01-05 22:49:00,5,"AATB,INVK,LMKS,MXCO,NEWK",4.823260440403946,6.773045675585327,4.584647625432896,5.966885899022377
2018-01-06 19:46:00,3,"APTY,JUNG1,MXCO",3.4421542362212794,6.148010554822581,4.697200091361102,5.727243777002179
2018-01-08 03:06:00,1,JUNG1,2.552929530968998,2.552929530968998,3.9623214589608344,3.9623214589608344
2018-01-09 00:20:00,5,"APTY,JUNG1,KERG,LMKS,MXCO",3.498846940142138,4.386487371084047,4.237781762901541,5.227846483746552
2018-01-10 03:48:00,5,"APTY,INVK,JUNG1,MXCO,OULU",5.910462465981818,13.200848895697801,4.615392829924417,6.310480841552357
2018-01-10 22:06:00,1,NEWK,4.755684154300243,4.755684154300243,3.0235577410466954,3.0235577410466954
2018-01-12 01:48:00,6,"APTY,DOMC,INVK,KERG,LMKS,OULU",3.567290034547835,7.0713213726671,4.0440003467038546,6.366117366890058
2018-01-13 07:38:00,4,"AATB,JUNG1,KERG,MXCO",2.4214832943492226,3.0589988474372163,3.9975375926819128,5.828021525234871
2018-01-13 23:48:00,3,"DOMC,NEWK,OULU",4.691185494937656,6.117053216254119,3.5757844966807477,4.20632396756045
2018-01-15 02:06:00,4,"AATB,APTY,KERG,OULU",3.6485271786587794,4.457830526406246,4.448852019244925,5.899277322296419
2018-01-15 23:00:00,2,"DOMC,NEWK",5.665138001769804,7.776908963081887,4.206355878143216,5.376018293239629
2018-01-16 15:50:00,4,"AATB,INVK,JUNG1,KERG",2.9652552803817005,3.9619799447501527,3.933357772492326,5.301008109452187
2018-01-17 05:14:00,2,"DOMC,NEWK",5.145065845169037,5.919382643619843,3.6214909121577157,4.095859518644447
2018-01-18 02:44:00,4,"JUNG1,LMKS,MXCO,OULU",4.009221357767171,4.723011253576129,3.879596547797507,4.562016875928498
2018-01-18 18:22:00,4,"AATB,APTY,INVK,LMKS",2.5803362894388746,3.650816695491565,3.672308568359906,4.80544992365039
2018-01-19 14:42:00,3,"DOMC,INVK,KERG",5.665682110317962,7.663216974520728,3.975056365752647,5.5904145959144875
2018-01-20 05:02:00,2,"JUNG1,NEWK",3.1756500254281774,3.6484455565895155,4.046221793520929,4.768777025377037
2018-01-21 01:56:00,2,"APTY,OULU",4.342017347869352,4.942007060759045,3.938353031258664,4.224528410085243
2018-01-22 00:40:00,5,"AATB,APTY,JUNG1,LMKS,NEWK",3.646514072038678,4.2321478166419215,4.07858496982014,5.414970754321583
2018-01-24 14:38:00,6,"AATB,APTY,KERG,LMKS,NEWK,OULU",2.839712768586799,4.111003134393089,4.19230986301184,5.510447313542782
2018-01-25 03:10:00,2,"DOMC,JUNG1",5.97517836308446,7.7322616251828915,3.690482515489057,4.445225524013318
2018-01-26 09:46:00,4,"INVK,JUNG1,LMKS,NEWK",3.4362879831625386,4.294150433134072,3.833424742630568,4.883397914299948
2018-01-27 12:42:00,3,"INVK,MXCO,OULU",3.320892598519524,3.8516435598626675,3.9961593951852343,4.680341563718543
2018-01-28 05:08:00,5,"DOMC,LMKS,MXCO,NEWK,OULU",5.342020532942983,8.111798786952267,3.7516576169255615,5.470556486222275
2018-01-29 06:02:00,4,"AATB,APTY,INVK,OULU",3.4917327798548983,3.9944072477530477,3.9792049653024955,5.796627442944905
2018-01-30 04:30:00,4,"APTY,INVK,JUNG1,LMKS",2.86514917027004,3.57108170386096,4.24404521481587,5.091476952193345
2018-01-31 03:08:00,2,"MXCO,NEWK",4.038895723762209,4.708752254054712,4.194507778762356,4.730835314531708
2018-02-01 02:58:00,3,"DOMC,INVK,NEWK",5.33483565561965,8.061168799238859,4.4719829079850415,5.2679408498754965
2018-02-01 19:46:00,5,"AATB,APTY,DOMC,MXCO,OULU",3.9558626663221776,6.622128602726734,3.973387177831725,5.1216565895373165
2018-02-02 12:46:00,3,"AATB,INVK,LMKS",2.427346299275485,3.1548829423124896,4.312619887659873,4.632246772480563
2018-02-03 05:45:00,2,"APTY,MXCO",3.1459825226694393,3.2247345406574945,4.42074925852904,4.837715219991813
2018-02-03 22:18:00,1,OULU,5.192167125634953,5.192167125634953,4.144029131002179,4.144029131002179
2018-02-04 21:19:00,7,"AATB,APTY,JUNG1,LMKS,MXCO,NEWK,OULU",4.324941246910568,6.3400960712753065,4.4120316092276,6.48056306827328
2018-02-05 18:48:00,2,"AATB,MXCO",2.862746208812716,3.0591772506884505,4.534121957122515,6.427255926084908
2018-02-07 01:20:00,6,"AATB,APTY,INVK,JUNG1,LMKS,OULU",2.699491424762019,4.633575306920021,4.280804754447484,6.08016571813123
2018-02-07 21:14:00,5,"APTY,KERG,LMKS,MXCO,NEWK",3.2884527290011767,4.518251535824456,3.8162255737268476,4.915310890006759
2018-02-09 09:28:00,2,"INVK,JUNG1",3.041304305229058,3.4428986373738595,4.5627506337538914,5.679828934741144
2018-02-10 02:08:00,1,KERG,3.312670930552365,3.312670930552365,4.396811492568721,4.396811492568721
2018-02-11 02:30:00,3,"INVK,KERG,NEWK",3.5153913454156913,4.401041440046149,3.837115154124398,3.9590219379829708
2018-02-12 01:22:00,4,"AATB,APTY,INVK,KERG",3.133843965322921,3.299670024666777,4.17326629856381,4.789399944620213
