station,n_rows,counts_missing_pct,bg_missing_pct,deltaN_missing_pct,A_complex_missing_pct,n_spikes_flagged
AATB,2070525,4.775358906557516,6.4340686540853165,8.388452204151122,7.665785247702877,0
APTY,2070525,0.3209813936079014,0.4840801246060782,0.7428550729887348,1.49696333055626,1698
DOMC,2070525,1.85112471474626,2.4036898854155346,2.99981888651429,3.030149358254549,0
INVK,2070525,1.3914828364786709,2.553893336231149,3.26187802610449,3.2964586276427474,15120
JUNG1,2070525,0.587628741502759,0.6407070670482123,0.8797285712560825,1.6604001400610957,0
KERG,2070525,0.9467647094335977,1.892804964924355,2.6048948938071264,2.765192402892986,13766
LMKS,2070525,0.3335385952838048,0.4281522802187851,0.6638895932191111,1.426208328805496,137
MXCO,2070525,1.147873123966144,1.1403388029606019,1.9564603180352809,2.4674418323855063,0
NEWK,2070525,2.2066867098924186,4.458675939677135,5.29508216515135,5.7820601055287915,26972
OULU,2070525,0.12011446372296881,0.277079484671762,0.3873896717016216,1.2698228710109754,1521
