variable,driver,N,mean,median,std,q25,q75
n_sup_stations,SSC,75,11.08,12.0,3.784,8.5,14.0
n_sup_stations,SI,13,12.462,13.0,2.933,11.0,15.0
n_sup_stations,unmatched,179,5.721,5.0,4.071,2.0,9.0
duration_h,SSC,75,55.327,49.133,29.124,33.883,69.517
duration_h,SI,13,69.056,65.6,27.94,44.433,81.267
duration_h,unmatched,179,41.508,34.6,31.214,19.45,54.55
A_complex_mean,SSC,75,6.656,6.328,1.706,5.68,7.297
A_complex_mean,SI,13,6.474,6.256,0.837,6.143,6.795
A_complex_mean,unmatched,179,7.091,6.541,3.24,5.269,7.848
drop_max,SSC,75,7.275,6.544,3.18,5.197,8.654
drop_max,SI,13,8.163,7.061,3.222,5.329,9.869
drop_max,unmatched,179,5.576,4.804,2.899,3.827,6.632
feid_mag_36h,SSC,75,2.485,1.6,2.613,1.01,2.9
feid_mag_36h,SI,13,1.983,0.96,2.923,0.6,1.85
feid_vmax_36h,SSC,75,513.773,506.0,114.899,432.5,585.5
feid_vmax_36h,SI,13,550.846,502.0,148.636,421.0,649.0
