datetime,duration,magnitude,ons type,V max,B max,ons_label,t_izmiran
2016-01-01 21:00:00,23,0.67,,490.0,9.8,,2016-01-01 21:00:00
2016-01-03 03:00:00,34,0.46,,486.0,8.2,,2016-01-03 03:00:00
2016-01-05 01:00:00,89,0.7,,618.0,16.1,,2016-01-05 01:00:00
2016-01-11 04:00:00,84,0.96,,606.0,10.5,,2016-01-11 04:00:00
2016-01-16 05:00:00,51,0.95,,387.0,7.0,,2016-01-16 05:00:00
2016-01-18 21:57:00,41,1.85,SSC,383.0,16.9,ICME-shock,2016-01-18 21:57:00
2016-01-21 01:00:00,66,0.72,,568.0,19.2,,2016-01-21 01:00:00
2016-01-24 09:00:00,47,0.6,,501.0,7.6,,2016-01-24 09:00:00
2016-01-26 21:00:00,31,1.1,,381.0,8.9,,2016-01-26 21:00:00
2016-01-28 09:00:00,42,0.8,,361.0,8.5,,2016-01-28 09:00:00
2016-01-30 14:00:00,22,0.56,,285.0,8.7,,2016-01-30 14:00:00
2016-01-31 15:00:00,32,1.01,,314.0,10.4,,2016-01-31 15:00:00
2016-02-02 04:00:00,29,0.6,,371.0,10.1,,2016-02-02 04:00:00
2016-02-03 13:00:00,20,1.7,,415.0,11.1,,2016-02-03 13:00:00
2016-02-04 12:00:00,37,0.95,,484.0,10.8,,2016-02-04 12:00:00
2016-02-06 17:00:00,23,0.28,,449.0,6.2,,2016-02-06 17:00:00
2016-02-07 22:00:00,24,0.59,,454.0,10.3,,2016-02-07 22:00:00
2016-02-09 01:00:00,55,0.78,,422.0,14.4,,2016-02-09 01:00:00
2016-02-11 16:00:00,25,0.59,,362.0,15.1,,2016-02-11 16:00:00
2016-02-12 20:00:00,18,0.72,,401.0,18.5,,2016-02-12 20:00:00
2016-02-13 16:00:00,21,0.36,,420.0,6.9,,2016-02-13 16:00:00
2016-02-14 16:00:00,16,0.6,,407.0,7.3,,2016-02-14 16:00:00
2016-02-15 10:00:00,21,0.88,,442.0,14.1,,2016-02-15 10:00:00
2016-02-16 09:39:00,101,0.94,SI,649.0,15.0,weak-impulse,2016-02-16 09:39:00
2016-02-20 20:00:00,50,0.38,,440.0,7.4,,2016-02-20 20:00:00
2016-02-25 04:00:00,11,0.17,,323.0,7.9,,2016-02-25 04:00:00
2016-02-25 17:00:00,24,0.74,,431.0,11.6,,2016-02-25 17:00:00
2016-02-26 20:00:00,18,0.6,,399.0,6.4,,2016-02-26 20:00:00
2016-02-27 17:00:00,30,1.0,,385.0,7.4,,2016-02-27 17:00:00
2016-02-29 03:00:00,22,0.7,,366.0,6.7,,2016-02-29 03:00:00
2016-03-01 04:00:00,78,1.0,,479.0,12.3,,2016-03-01 04:00:00
2016-03-05 10:00:00,27,1.01,,372.0,17.0,,2016-03-05 10:00:00
2016-03-06 17:00:00,69,1.38,,590.0,20.1,,2016-03-06 17:00:00
2016-03-11 05:00:00,49,1.71,,569.0,22.9,,2016-03-11 05:00:00
2016-03-14 17:14:00,39,0.85,SSC,563.0,19.7,ICME-shock,2016-03-14 17:14:00
2016-03-16 17:00:00,35,1.13,,575.0,9.6,,2016-03-16 17:00:00
2016-03-18 12:00:00,33,0.63,,468.0,8.9,,2016-03-18 12:00:00
2016-03-20 07:00:00,25,0.31,,429.0,7.5,,2016-03-20 07:00:00
2016-03-22 03:00:00,18,0.44,,437.0,7.1,,2016-03-22 03:00:00
2016-03-23 00:00:00,29,0.97,,469.0,9.5,,2016-03-23 00:00:00
2016-03-24 09:00:00,43,0.91,,555.0,7.8,,2016-03-24 09:00:00
2016-03-26 15:00:00,30,0.65,,426.0,11.9,,2016-03-26 15:00:00
2016-03-28 01:00:00,77,0.68,,555.0,8.4,,2016-03-28 01:00:00
2016-04-02 14:31:00,27,1.02,SSC,512.0,14.6,ICME-shock,2016-04-02 14:31:00
2016-04-03 21:00:00,36,0.4,,417.0,8.6,,2016-04-03 21:00:00
2016-04-07 12:00:00,36,1.15,,390.0,12.1,,2016-04-07 12:00:00
2016-04-10 04:00:00,37,1.15,,397.0,8.7,,2016-04-10 04:00:00
2016-04-12 09:00:00,25,1.19,,617.0,15.3,,2016-04-12 09:00:00
2016-04-13 13:00:00,17,1.03,,562.0,7.5,,2016-04-13 13:00:00
2016-04-14 07:35:00,24,1.33,SI,484.0,9.6,weak-impulse,2016-04-14 07:35:00
2016-04-15 11:00:00,17,0.62,,387.0,11.2,,2016-04-15 11:00:00
2016-04-16 06:00:00,18,0.47,,463.0,9.5,,2016-04-16 06:00:00
2016-04-17 02:00:00,28,0.5,,432.0,12.3,,2016-04-17 02:00:00
2016-04-18 10:00:00,26,0.47,,389.0,7.3,,2016-04-18 10:00:00
2016-04-19 15:00:00,19,0.47,,373.0,7.8,,2016-04-19 15:00:00
2016-04-20 13:00:00,34,1.13,,427.0,8.7,,2016-04-20 13:00:00
2016-04-22 05:00:00,28,0.75,,587.0,12.1,,2016-04-22 05:00:00
2016-04-23 16:00:00,70,0.47,,568.0,10.1,,2016-04-23 16:00:00
