idx_izmiran,idx_catalog,dt_hours,subset,datetime,duration,magnitude,ons type,V max,B max,ons_label,t_izmiran,group_id,repr_time,anchor_onset_time,time_start,time_end,group_span_h,n_trigger_events,n_trigger_stations,trigger_stations,trigger_drop_mean,trigger_drop_max,trigger_A_complex_mean,onset_min,onset_max,min_time_min,min_time_max,n_supported_stations,supported_stations,n_support_only_stations,support_only_stations,mean_supported_drop,median_supported_drop,max_supported_drop,catalog_tier,fd_scope,quality,promoted_from_single_trigger,year,omni_Bz_min,omni_Speed_max,omni_IMF_max,omni_Density_mean,feid_matched,feid_dt_h,feid_magnitude,feid_ons_label,feid_Vmax,feid_Bmax,feid_has_shock,cond_A_bz,cond_B_speed,cond_C_imf,fd_like_confirmed,bz_min,speed_max,imf_max,dv_max,bz_consec_min,imf_consec_min
14,9,-0.4666666666666667,core,2019-02-05 18:00:00,42,0.42,,446.0,7.9,,2019-02-05 18:00:00,287,2019-02-05 17:32:00,2019-02-05 17:32:00,2019-02-05 15:34:00,2019-02-06 23:26:00,31.866666666666667,2,2,"DRBS,KERG",5.43255178339421,5.953332443754299,7.047316541795382,2019-02-05 15:34:00,2019-02-05 19:30:00,2019-02-06 10:32:00,2019-02-06 23:26:00,3,"AATB,DRBS,KERG",1,AATB,4.8284614435647555,4.911771123034122,5.953332443754299,core,supported_multi_station_candidate,B,False,2019,-5.0713333333333335,538.9525,7.933833333333333,4.098584502923978,True,0.4666666666666667,0.42,,446.0,7.9,False,False,True,False,True,-4.41,392.6,8.280000000000001,53.049999999999955,8.0,16.0
4,3,-1.0333333333333334,core,2019-01-13 23:00:00,31,0.34,,403.0,10.2,,2019-01-13 23:00:00,279,2019-01-13 21:58:00,2019-01-13 21:58:00,2019-01-13 07:54:00,2019-01-16 00:46:00,64.86666666666666,3,3,"AATB,KERG,LMKS",3.035290606640307,3.527948653291865,5.393754077740219,2019-01-13 07:54:00,2019-01-14 12:52:00,2019-01-14 18:28:00,2019-01-16 00:46:00,4,"AATB,JUNG1,KERG,LMKS",1,JUNG1,3.069581024815162,3.2042622027839687,3.527948653291865,core,supported_multi_station_candidate,A,False,2019,-3.5343333333333335,410.2066666666667,10.272333333333334,8.020436631944444,True,1.0333333333333334,0.34,,403.0,10.2,False,False,True,True,True,-5.17,381.6,11.06,89.80000000000001,46.0,130.0
109,72,1.0666666666666667,core,2019-10-12 19:00:00,32,0.48,,378.0,4.1,,2019-10-12 19:00:00,357,2019-10-12 20:04:00,2019-10-12 20:04:00,2019-10-12 07:22:00,2019-10-13 18:54:00,35.53333333333333,5,5,"AATB,BKSN,JUNG,JUNG1,KIEL2",4.499672363268718,5.005931763894514,6.659722586029164,2019-10-12 07:22:00,2019-10-13 08:42:00,2019-10-13 10:56:00,2019-10-13 18:54:00,11,"AATB,APTY,BKSN,DRBS,FSMT,JUNG,JUNG1,KERG,KIEL2,LMKS,NANM",6,"APTY,DRBS,FSMT,KERG,LMKS,NANM",4.186527380960187,4.2022753599109,5.026440798312986,core,supported_multi_station_candidate,A,False,2019,-5.181833333333333,499.1425,7.129333333333333,5.249392212885154,True,-1.0666666666666667,0.48,,378.0,4.1,False,False,True,False,True,-2.92,432.45,4.075,46.150000000000034,0.0,0.0
79,53,-1.6,core,2019-08-04 08:00:00,15,0.2,,369.0,5.0,,2019-08-04 08:00:00,336,2019-08-04 06:24:00,2019-08-04 06:24:00,2019-08-03 10:14:00,2019-08-05 22:34:00,60.333333333333336,5,5,"APTY,BKSN,JUNG1,KERG,LMKS",3.693500991096477,4.896297018494342,6.481205514444275,2019-08-03 10:14:00,2019-08-04 11:16:00,2019-08-03 23:00:00,2019-08-05 22:34:00,6,"APTY,BKSN,FSMT,JUNG1,KERG,LMKS",1,FSMT,4.109300853191476,4.029166095008615,6.188300163666464,core,supported_multi_station_candidate,A,False,2019,-5.121833333333333,713.5366666666666,19.433,7.114421875000001,True,1.6,0.2,,369.0,5.0,False,False,True,False,True,-3.2800000000000002,380.3,5.109999999999999,43.650000000000034,4.0,0.0
1,1,1.6333333333333333,core,2019-01-08 06:00:00,40,0.44,,446.0,6.1,,2019-01-08 06:00:00,277,2019-01-08 07:38:00,2019-01-08 07:38:00,2019-01-08 07:38:00,2019-01-09 07:26:00,23.8,1,1,JUNG1,3.9858757581777526,3.9858757581777526,6.0999253305703744,2019-01-08 07:38:00,2019-01-08 07:38:00,2019-01-09 07:26:00,2019-01-09 07:26:00,4,"AATB,APTY,JUNG,JUNG1",3,"AATB,APTY,JUNG",3.6345416977315566,3.773421125989107,4.305370184503601,core,supported_multi_station_candidate,A,True,2019,-3.7591666666666663,556.5550000000001,6.108833333333333,4.719289649528754,True,-1.6333333333333333,0.44,,446.0,6.1,False,False,True,False,True,-4.09,478.8,5.640000000000001,57.30000000000001,10.0,0.0
127,84,-1.7,core,2019-11-20 15:00:00,19,0.88,,483.0,9.0,,2019-11-20 15:00:00,370,2019-11-20 13:18:00,2019-11-20 13:18:00,2019-11-20 13:18:00,2019-11-21 23:34:00,34.266666666666666,1,1,LMKS,2.496366884081408,2.496366884081408,3.079104052811062,2019-11-20 13:18:00,2019-11-20 13:18:00,2019-11-21 23:34:00,2019-11-21 23:34:00,3,"AATB,FSMT,LMKS",2,"AATB,FSMT",3.539386243740864,3.4751166468984467,4.646675200242736,core,supported_multi_station_candidate,B,True,2019,-4.650166666666666,595.2483333333333,11.411333333333335,7.532304687499999,True,1.7,0.88,,483.0,9.0,False,False,True,False,True,-2.01,352.25,5.045,42.55000000000001,0.0,0.0
49,34,1.8333333333333333,core,2019-05-19 19:00:00,48,0.55,,414.0,8.2,,2019-05-19 19:00:00,316,2019-05-19 20:50:00,2019-05-19 20:50:00,2019-05-19 06:52:00,2019-05-20 23:20:00,40.46666666666667,2,2,"KERG,ROME",6.5348384595521605,9.529059402749608,6.666440497117488,2019-05-19 06:52:00,2019-05-20 10:48:00,2019-05-20 12:10:00,2019-05-20 23:20:00,6,"JUNG,JUNG1,KERG,KIEL2,NANM,ROME",4,"JUNG,JUNG1,KIEL2,NANM",5.4702881964944865,5.123328533462006,9.529059402749608,core,supported_multi_station_candidate,A,False,2019,-6.073166666666666,424.44166666666666,8.0235,4.722542534722222,True,-1.8333333333333333,0.55,,414.0,8.2,False,True,True,False,True,-7.295,401.8,8.469999999999999,46.650000000000034,96.0,4.0
60,43,2.466666666666667,core,2019-06-19 12:00:00,31,0.63,,371.0,7.8,,2019-06-19 12:00:00,326,2019-06-19 14:28:00,2019-06-19 14:28:00,2019-06-19 09:04:00,2019-06-20 00:04:00,15.0,2,2,"DRBS,KERG",5.731773333630197,7.563960981180507,9.443899370134679,2019-06-19 09:04:00,2019-06-19 19:52:00,2019-06-19 22:00:00,2019-06-20 00:04:00,6,"AATB,APTY,DRBS,FSMT,JUNG1,KERG",4,"AATB,APTY,FSMT,JUNG1",4.120269174426031,3.7769240113263067,7.563960981180507,core,supported_multi_station_candidate,A,False,2019,-3.0758333333333336,397.09083333333336,7.902166666666667,9.584885001666747,True,-2.466666666666667,0.63,,371.0,7.8,False,False,False,False,False,-3.865,339.8,4.824999999999999,24.5,24.0,0.0
73,49,-3.0,core,2019-07-19 21:00:00,33,0.33,,341.0,4.9,,2019-07-19 21:00:00,332,2019-07-19 18:00:00,2019-07-19 18:00:00,2019-07-19 09:10:00,2019-07-21 14:28:00,53.3,3,3,"FSMT,JUNG1,LMKS",3.3570424217914585,3.764298632524743,5.945060956391907,2019-07-19 09:10:00,2019-07-20 12:38:00,2019-07-19 20:14:00,2019-07-21 14:28:00,3,"FSMT,JUNG1,LMKS",0,,3.3570424217914585,3.2225199195802054,3.764298632524743,core,supported_multi_station_candidate,B,False,2019,-2.5145,427.79,6.092499999999999,6.058803429063933,True,3.0,0.33,,341.0,4.9,False,False,False,False,False,-2.685,362.2,3.69,27.649999999999977,0.0,0.0
38,27,-3.433333333333333,core,2019-04-21 15:00:00,41,0.37,,393.0,6.6,,2019-04-21 15:00:00,308,2019-04-21 11:34:00,2019-04-21 11:34:00,2019-04-21 11:34:00,2019-04-22 17:38:00,30.066666666666666,1,1,AATB,2.5980416230502565,2.5980416230502565,9.560362003631807,2019-04-21 11:34:00,2019-04-21 11:34:00,2019-04-22 17:38:00,2019-04-22 17:38:00,4,"AATB,BKSN,KERG,LMKS",3,"BKSN,KERG,LMKS",3.6878265054887303,3.913320660314022,4.326623078276621,core,supported_multi_station_candidate,A,True,2019,-3.814,391.38666666666666,6.803333333333333,6.998473958333332,True,3.433333333333333,0.37,,393.0,6.6,False,False,True,False,True,-4.3149999999999995,347.85,6.16,34.75,12.0,0.0
