station,n_rows,counts_missing_pct,deltaN_missing_pct,A_complex_missing_pct,n_spikes_flagged
AATB,2630160,3.494578276606746,7.078352647747666,5.744441402804392,26872
APTY,2630160,0.15888767223286795,1.151336800802993,1.5754174650971804,13738
ATHN,2630160,7.51250874471515,12.770743985156797,10.742540377771695,26438
BKSN,2630160,4.732677859902059,6.454322170514342,7.128729811114153,15317
CALM,2630160,12.386128600541412,14.566490251543632,21.209736289807466,1254
DRBS,2630160,3.1622030598898925,7.049076862244122,5.588823493627764,31477
FSMT,2630160,0.9814612038811328,2.3624418286339997,2.3204291754113817,11429
JUNG,2630160,0.45655017185266294,1.8524728533625332,2.2121087690482706,22148
JUNG1,2630160,0.40335949143778327,0.6516713812087478,1.2698467013413632,483
KERG,2630160,3.4278903184597134,5.795160750676765,6.392120631444474,27932
KIEL2,2630160,12.264196854944185,13.182772150743682,14.234267116829393,7528
LMKS,2630160,0.08778933600997658,2.2862107248228245,3.259687623566627,38531
MXCO,2630160,0.8798704261337713,2.6905207287769564,2.750364996806278,22400
NANM,2630160,26.420597986434284,60.86321744684734,62.837317881801866,882537
NEWK,2630160,1.4453493323600086,5.376821181981324,6.164149709523374,78567
OULU,2630160,0.0,0.7779754843811784,1.310148432034553,10986
ROME,2630160,5.294772941570095,22.473271588040273,22.582580527420383,409104
