station,segment_start,segment_end,onset_time,min_time,rec_time,deltaN_pre,deltaN_min,drop_percent,A_complex_onset,A_complex_max_segment,segment_duration_h,onset_to_min_h,detector,group_id,repr_time,anchor_onset_time
FSMT,2016-01-31 08:30:00,2016-01-31 11:30:00,2016-01-31 08:30:00,2016-01-31 10:56:00,2016-01-31 10:58:00,0.36710545203909417,-3.206193891606897,3.573299343645991,2.075215360480039,7.862912695759714,3.0,2.433333333333333,detector,1,2016-02-01 16:16:00,2016-02-01 16:16:00
LMKS,2016-01-31 11:10:00,2016-01-31 13:28:00,2016-01-31 11:10:00,2016-02-01 23:10:00,2016-02-01 23:38:00,0.8023493195715143,-3.5464488695983434,4.348798189169858,2.046732533383873,6.708793361148413,2.3,36.0,detector,1,2016-02-01 16:16:00,2016-02-01 16:16:00
CALM,2016-02-01 02:44:00,2016-02-01 05:12:00,2016-02-01 02:44:00,2016-02-02 03:02:00,2016-02-02 03:04:00,0.3179278107969928,-7.704801965765688,8.02272977656268,2.1254255737468504,5.734963053689266,2.466666666666667,24.3,detector,1,2016-02-01 16:16:00,2016-02-01 16:16:00
OULU,2016-02-01 08:38:00,2016-02-01 12:14:00,2016-02-01 08:38:00,2016-02-01 22:04:00,2016-02-01 22:06:00,0.28042868106564933,-4.696907005611361,4.97733568667701,2.018009362669713,8.97081400593475,3.6,13.433333333333334,detector,1,2016-02-01 16:16:00,2016-02-01 16:16:00
NANM,2016-02-01 09:28:00,2016-02-01 12:00:00,2016-02-01 09:28:00,2016-02-02 20:06:00,2016-02-02 20:10:00,0.9554214818191079,-4.981796715635917,5.937218197455024,2.017470265571918,13.41106459738245,2.533333333333333,34.63333333333333,detector,1,2016-02-01 16:16:00,2016-02-01 16:16:00
APTY,2016-02-01 23:04:00,2016-02-02 01:48:00,2016-02-01 23:04:00,2016-02-01 23:14:00,2016-02-01 23:20:00,0.03066211045101605,-3.4242395860827997,3.4549016965338155,2.075717446381504,3.238413431425637,2.7333333333333334,0.16666666666666666,detector,1,2016-02-01 16:16:00,2016-02-01 16:16:00
JUNG,2016-02-03 07:16:00,2016-02-03 09:40:00,2016-02-03 07:16:00,2016-02-04 12:52:00,2016-02-04 12:58:00,1.6490553638962535,-4.615182533799951,6.264237897696204,2.05141520325159,6.622652184696451,2.4,29.6,detector,1,2016-02-01 16:16:00,2016-02-01 16:16:00
JUNG1,2016-02-03 08:06:00,2016-02-03 11:16:00,2016-02-03 08:06:00,2016-02-04 00:46:00,2016-02-04 00:54:00,1.937801498218628,-4.608940417747997,6.546741915966624,2.528186104253613,6.26943945624858,3.1666666666666665,16.666666666666668,detector,1,2016-02-01 16:16:00,2016-02-01 16:16:00
BKSN,2016-02-03 09:40:00,2016-02-03 12:52:00,2016-02-03 09:40:00,2016-02-04 01:24:00,2016-02-04 01:26:00,0.0641407092760942,-5.677895287692973,5.742035996969067,2.0811806012077643,5.084434726605801,3.2,15.733333333333333,detector,1,2016-02-01 16:16:00,2016-02-01 16:16:00
KIEL2,2016-02-04 17:30:00,2016-02-04 19:30:00,2016-02-04 17:30:00,2016-02-05 06:40:00,2016-02-05 06:42:00,-0.6415250152701685,-5.182350567187057,4.540825551916888,2.0368037661960603,3.1356355430959164,2.0,13.166666666666666,detector,1,2016-02-01 16:16:00,2016-02-01 16:16:00
AATB,2016-02-08 11:12:00,2016-02-08 13:30:00,2016-02-08 11:12:00,2016-02-09 16:20:00,2016-02-09 16:24:00,1.3635265536237486,-2.1320051598108067,3.4955317134345556,2.1596539891826696,4.8303659419173135,2.3,29.133333333333333,detector,2,2016-02-09 06:18:00,2016-02-09 06:18:00
NANM,2016-02-09 01:16:00,2016-02-09 03:44:00,2016-02-09 01:16:00,2016-02-09 20:04:00,2016-02-09 20:06:00,0.40695970059655473,-3.783431112267275,4.190390812863829,2.112561706494061,8.711481602524422,2.466666666666667,18.8,detector,2,2016-02-09 06:18:00,2016-02-09 06:18:00
KIEL2,2016-02-09 06:18:00,2016-02-09 09:36:00,2016-02-09 06:18:00,2016-02-10 14:08:00,2016-02-10 14:10:00,0.5776991190309518,-3.695429528039936,4.273128647070888,2.396616906924418,7.004207961023908,3.3,31.833333333333332,detector,2,2016-02-09 06:18:00,2016-02-09 06:18:00
LMKS,2016-02-09 08:50:00,2016-02-09 10:48:00,2016-02-09 08:50:00,2016-02-09 21:38:00,2016-02-09 21:40:00,0.5425116321005801,-2.6620706571906156,3.2045822892911957,2.4301827483976433,7.097339909455393,1.9666666666666666,12.8,detector,2,2016-02-09 06:18:00,2016-02-09 06:18:00
MXCO,2016-02-10 04:28:00,2016-02-10 06:48:00,2016-02-10 04:28:00,2016-02-10 18:18:00,2016-02-10 18:22:00,-0.2563583916698906,-10.253583241455347,9.997224849785457,3.111072965642832,4.258571173817046,2.3333333333333335,13.833333333333334,detector,2,2016-02-09 06:18:00,2016-02-09 06:18:00
BKSN,2016-02-11 10:16:00,2016-02-11 12:16:00,2016-02-11 10:16:00,2016-02-12 21:40:00,2016-02-12 21:44:00,0.5189695947033115,-3.7431716951004232,4.2621412898037345,2.0488289773508668,2.954837771228126,2.0,35.4,detector,3,2016-02-11 22:46:00,2016-02-11 22:46:00
