year,n_events,n_feid_matched,n_with_shock,mean_Bz_min,mean_Speed_max,pct_feid_matched,pct_with_shock
2016,86,56,5,-6.439154392764857,561.5401155869324,65.1,5.8
2017,95,57,8,-6.144729239766082,567.2868971584945,60.0,8.4
2018,94,57,3,-5.187149822695035,509.19283047419486,60.6,3.2
2019,105,60,2,-4.683048972922502,488.00795161366995,57.1,1.9
2020,96,51,1,-4.834698784722222,457.5521054153353,53.1,1.0
2021,88,61,9,-6.377048277155614,502.5382729250525,69.3,10.2
2022,87,76,18,-7.932946360153257,554.3302950191571,87.4,20.7
2023,87,65,15,-8.156410743428339,536.9193641061781,74.7,17.2
2024,84,70,15,-8.954919893598465,485.972362051555,83.3,17.9
2025,86,1,1,-8.472824796973052,616.2416433133511,1.2,1.2
