time,duration,magnitude,ons type,V max,B max
1954-03-22 17:12,72,,SSC,,
1954-06-18 17:24,72,,SSC,,
1954-07-19 14:54,72,,SSC,,
1954-09-24 08:54,72,,SSC,,
1954-10-23 07:18,72,,SSC,,
1954-10-27 07:42,72,,SSC,,
1954-11-18 17:30,72,,SSC,,
1954-11-23 11:42,72,,SSC,,
1955-01-11 12:18,31,,SSC,,
1955-01-12 19:42,72,,SSC,,
1955-01-17 03:18,72,,SSC,,
1955-01-27 08:48,5,,SSC,,
1955-01-27 13:42,72,,SSC,,
1955-02-21 03:48,72,,SSC,,
1955-02-28 00:54,72,,SSC,,
1955-03-30 10:36,72,,SSC,,
1955-04-27 16:24,72,,SSC,,
1955-05-20 05:24,72,,SSC,,
1955-05-25 14:30,72,,SSC,,
1955-06-06 17:24,72,,SSC,,
1955-06-22 10:36,72,,SSC,,
1955-07-06 14:54,72,,SSC,,
1955-08-27 15:12,72,,SSC,,
1955-10-07 22:54,72,,SSC,,
1955-11-19 13:18,72,,SSC,,
1955-12-05 01:30,21,,SSC,,
1955-12-05 22:18,72,,SSC,,
1956-01-17 23:42,72,,SSC,,
1956-01-21 16:42,72,,SSC,,
1956-01-27 08:54,72,,SSC,,
1956-02-11 00:54,72,,SSC,,
1956-02-19 02:18,66,,SSC,,
1956-02-21 20:00,4,,SSC,,
1956-02-22 00:12,72,,SSC,,
1956-02-25 03:06,72,,SSC,,
1956-03-02 23:42,7,,SSC,,
1956-03-03 06:48,72,,SSC,,
1956-03-12 01:00,72,,,,
1956-03-19 00:54,35,,SSC,,
1956-03-20 11:42,72,,SSC,,
1956-04-02 07:18,72,,SSC,,
1956-04-15 16:24,72,,SSC,,
1956-04-21 11:00,72,,SSC,,
1956-04-25 11:30,34,,SSC,,
1956-04-26 21:12,44,,SSC,,
1956-04-28 17:24,1,,SSC,,
1956-04-28 18:54,31,,SSC,,
1956-04-30 01:36,72,,SSC,,
1956-05-11 23:36,72,,SSC,,
1956-05-16 04:12,72,,SSC,,
1956-05-20 06:36,36,,SSC,,
1956-05-21 18:18,59,,SSC,,
1956-05-24 05:48,72,,SSC,,
1956-06-05 15:12,72,,SSC,,
1956-06-23 18:00,72,,SSC,,
1956-07-08 01:00,72,,SSC,,
1956-08-09 10:36,27,,SSC,,
1956-08-10 13:12,11,,SSC,,
