Date of event	MagnM	Axym	Azrange	TminM	DminM	OType	Bmax	Bzmin	Vmax	Dstmin
2019.01.04 12:00:00	1.4	1.01	0.8	62	-0.19	9	11.4	-7.1	554.0	-23.0
2019.01.10 14:00:00	0.6	0.82	0.65	14	-0.23	9	7.3	-3.0	509.0	-9.0
2019.01.13 01:00:00	0.4	0.84	0.5	10	-0.15	9	3.4	-2.0	366.0	-4.0
2019.01.13 23:00:00	0.5	1.06	0.7	2	-0.27	9	10.2	-3.8	403.0	-2.0
2019.01.15 11:00:00	0.4	1.06	0.57	15	-0.19	9	7.7	-2.6	417.0	-7.0
2019.01.16 19:00:00	0.4	1.1	0.67	-2	-0.19	9	9.9	-5.8	503.0	-20.0
2019.01.20 19:00:00	0.4	0.89	0.7	4	-0.18	9	5.2	-1.7	374.0	0.0
2019.01.22 15:00:00	1.1	0.82	0.86	65	-0.29	9	9.3	-6.8	634.0	-17.0
2019.01.31 05:00:00	1.1	1.08	1.15	43	-0.35	9	15.7	-11.0	627.0	-34.0
2019.02.03 18:00:00	0.4	0.85	0.76	2	-0.17	9	6.1	-4.0	544.0	-28.0
2019.02.05 18:00:00	0.6	0.58	0.44	59	-0.23	9	7.9	-5.4	446.0	None
2019.02.08 08:00:00	0.5	0.89	0.86	47	-0.23	9	7.0	-4.7	477.0	None
2019.02.11 07:00:00	0.3	0.91	0.38	-1	-0.19	9	8.1	-5.2	406.0	None
2019.02.12 22:00:00	0.5	1.07	0.61	29	-0.19	9	9.1	-5.9	524.0	None
2019.02.17 22:00:00	0.4	0.66	0.56	0	-0.12	9	6.1	-3.7	371.0	None
2019.02.20 16:00:00	0.7	0.73	0.64	42	-0.21	9	11.2	-5.6	492.0	None
2019.02.27 08:00:00	1.1	0.82	1.1	49	-0.4	9	11.6	-5.1	595.0	None
2019.03.06 06:00:00	0.7	0.83	0.98	12	-0.24	9	9.8	-2.7	493.0	None
2019.03.11 11:00:00	1.1	0.66	0.58	51	-0.24	9	9.2	-6.3	396.0	None
2019.03.15 02:00:00	0.5	0.83	0.61	21	-0.25	9	7.5	-3.4	443.0	-24.0
2019.03.16 20:00:00	0.8	1.13	0.82	10	-0.32	9	8.5	-7.1	443.0	-41.0
2019.03.19 04:00:00	0.5	1.07	0.67	12	-0.2	9	7.1	-4.5	410.0	-13.0
2019.03.24 23:00:00	0.9	1.07	0.94	43	-0.22	9	8.4	-6.6	356.0	-4.0
2019.03.26 23:00:00	0.4	0.55	0.59	0	-0.2	9	7.2	-3.4	371.0	-6.0
2019.03.28 04:00:00	0.8	0.51	0.51	15	-0.21	9	13.7	-1.6	525.0	-13.0
2019.03.31 03:00:00	0.7	1.2	0.65	19	-0.35	9	7.2	-4.8	421.0	-28.0
2019.04.03 13:00:00	0.7	0.98	0.78	24	-0.18	9	9.4	-4.6	527.0	-33.0
2019.04.07 18:00:00	0.8	0.93	0.83	11	-0.2	9	8.6	-3.6	458.0	-27.0
2019.04.09 22:00:00	0.7	0.67	0.69	70	-0.19	9	8.2	-3.8	459.0	-34.0
2019.04.14 18:00:00	0.6	0.58	0.95	23	-0.18	9	7.7	-4.1	388.0	-20.0
2019.04.17 19:00:00	0.6	0.65	0.88	12	-0.26	9	6.1	-4.5	347.0	-10.0
2019.04.21 15:00:00	0.4	0.75	0.51	43	-0.23	9	6.6	-3.6	393.0	-9.0
2019.04.23 18:00:00	0.3	0.73	0.65	9	-0.25	9	10.4	-5.7	425.0	-15.0
2019.04.24 22:00:00	0.4	0.73	0.54	42	-0.19	9	6.9	-2.9	418.0	-8.0
2019.04.26 22:00:00	0.4	0.72	0.63	10	-0.27	9	6.0	-2.8	390.0	-14.0
2019.05.01 13:00:00	0.7	1.08	0.81	48	-0.18	9	9.1	-4.0	569.0	None
2019.05.03 18:00:00	0.4	0.97	0.94	11	-0.19	9	9.8	-4.0	505.0	-22.0
2019.05.09 06:00:00	0.5	0.62	0.69	21	-0.3	9	7.1	-4.3	379.0	-8.0
2019.05.10 17:54:00	1.6	0.99	0.75	26	-0.28	1	11.9	-10.5	382.0	None
2019.05.14 00:00:00	0.9	1.2	1.05	7	-0.23	9	14.3	-13.1	556.0	-65.0
2019.05.15 18:00:00	1.0	1.08	1.13	40	-0.29	9	9.8	-4.0	480.0	None
2019.05.19 19:00:00	0.6	0.98	0.54	17	-0.17	9	8.2	-6.0	414.0	-10.0
2019.05.22 04:00:00	0.3	0.33	0.46	-1	-0.13	9	4.7	-1.6	389.0	1.0
2019.05.23 05:00:00	0.5	0.7	0.51	32	-0.18	9	6.5	-4.0	357.0	-21.0
2019.05.26 22:14:00	1.1	0.94	1.08	14	-0.29	1	11.8	-6.3	372.0	-16.0
2019.05.28 15:00:00	0.5	0.73	0.6	27	-0.23	9	8.2	-4.8	562.0	-28.0
2019.06.03 02:00:00	0.4	0.51	0.48	-3	-0.13	9	-99.9	999.0	-999.0	-6.0
2019.06.04 09:00:00	0.4	0.63	0.76	3	-0.14	9	7.7	-6.8	344.0	-25.0
2019.06.06 09:00:00	0.4	0.68	0.54	5	-0.17	9	6.3	-2.4	321.0	-2.0
2019.06.08 10:00:00	0.5	0.86	0.6	17	-0.22	9	17.2	-14.6	463.0	-17.0
2019.06.12 06:00:00	1.3	None	None	45	-0.22	9	7.8	-5.4	477.0	None
2019.06.19 12:00:00	0.7	0.82	0.96	22	-0.13	9	7.2	-2.3	358.0	-14.0
2019.06.21 02:00:00	0.3	0.82	0.69	5	-0.16	9	7.8	-3.2	412.0	-3.0
2019.06.23 16:00:00	0.4	0.8	0.65	46	-0.27	9	5.5	-1.8	351.0	-4.0
2019.06.25 20:00:00	0.6	0.73	1.2	37	-0.21	9	6.0	-4.3	402.0	-6.0
2019.06.27 12:00:00	0.4	0.86	0.79	28	-0.18	9	5.9	-2.8	371.0	-7.0
2019.06.29 14:00:00	0.6	0.29	0.26	22	-0.17	9	4.9	-2.2	325.0	1.0
2019.06.30 23:00:00	0.9	None	None	10	-0.34	9	9.1	-5.9	380.0	None
2019.07.04 18:00:00	0.4	0.7	1.05	11	-0.14	9	7.1	-2.2	441.0	-6.0
2019.07.06 11:00:00	0.5	0.51	1.04	13	-0.26	9	5.0	-3.9	360.0	-13.0
2019.07.08 20:00:00	1.4	None	None	32	-0.32	9	18.0	-5.5	646.0	None
2019.07.12 22:00:00	0.7	0.71	0.4	14	-0.17	9	6.6	-3.6	461.0	-21.0
2019.07.14 21:00:00	0.5	0.58	0.58	11	-0.22	9	8.8	-2.0	477.0	-13.0
2019.07.19 21:00:00	0.3	0.75	0.59	15	-0.17	9	5.1	-2.2	349.0	-6.0
2019.07.21 18:00:00	0.5	0.69	0.78	17	-0.29	9	9.3	-5.6	424.0	-18.0
2019.07.24 20:00:00	0.5	0.89	0.51	6	-0.18	9	5.5	-3.2	387.0	-7.0
2019.07.27 09:00:00	0.5	0.55	0.18	45	-0.2	9	6.1	-4.6	374.0	-8.0
2019.07.30 11:00:00	1.0	None	None	32	-0.34	9	10.7	-4.5	553.0	None
2019.08.02 12:00:00	0.5	0.87	0.66	3	-0.23	9	3.9	-2.3	470.0	-10.0
2019.08.04 08:00:00	0.2	0.93	0.45	13	99.99	9	5.0	-1.6	369.0	2.0
2019.08.05 01:00:00	1.5	1.12	1.67	18	-0.29	9	17.1	-5.1	722.0	-53.0
2019.08.08 14:00:00	0.8	0.67	0.79	49	-0.24	9	6.7	-3.2	630.0	-24.0
2019.08.11 19:00:00	0.5	1.03	0.46	26	-0.21	9	5.2	-1.9	469.0	-15.0
2019.08.13 02:00:00	0.5	0.85	0.66	6	-0.18	9	6.8	-2.8	491.0	-18.0
2019.08.17 02:00:00	0.5	0.91	0.58	21	-0.2	9	7.8	-3.3	374.0	-13.0
2019.08.19 04:00:00	0.4	1.04	0.76	-2	-0.24	9	5.0	-2.0	376.0	-9.0
2019.08.20 02:00:00	0.7	1.04	0.63	8	-0.27	9	9.7	-3.2	404.0	-9.0
2019.08.25 10:00:00	0.4	0.93	0.88	10	-0.17	9	5.5	-3.6	331.0	-9.0
2019.08.26 18:00:00	0.8	0.93	1.01	25	-0.33	9	9.6	-4.7	514.0	-16.0
2019.08.30 06:00:00	1.2	None	None	53	-0.39	9	10.5	-4.4	752.0	None
2019.09.04 12:00:00	0.6	0.57	1.1	1	-0.24	9	6.3	-4.2	555.0	-45.0
2019.09.06 02:00:00	0.6	0.58	0.66	7	-0.25	9	5.7	-2.7	541.0	-22.0
2019.09.09 04:00:00	0.6	1.3	0.71	18	-0.3	9	6.8	-4.6	519.0	-30.0
2019.09.12 16:00:00	0.9	1.58	0.89	4	-0.27	9	8.5	-1.8	481.0	-18.0
2019.09.13 15:00:00	0.6	1.38	0.92	46	-0.19	9	8.2	-3.4	541.0	-14.0
2019.09.16 08:00:00	0.6	0.77	0.73	28	-0.26	9	5.4	-1.8	460.0	-12.0
2019.09.17 18:00:00	0.4	0.63	0.74	2	-0.17	9	6.2	-3.4	446.0	-12.0
2019.09.20 18:00:00	0.8	0.98	1.03	50	-0.23	9	6.3	-4.9	353.0	-16.0
2019.09.24 09:00:00	0.4	0.94	0.58	1	-0.2	9	14.7	-3.9	499.0	-24.0
2019.09.26 16:00:00	0.5	0.92	0.47	16	-0.31	9	3.9	-1.7	386.0	-4.0
2019.09.27 11:00:00	0.8	0.95	0.74	16	-0.27	9	13.0	-4.3	695.0	-49.0
2019.10.03 19:00:00	0.4	0.77	1.11	15	-0.18	9	8.4	-2.4	427.0	-13.0
2019.10.05 08:00:00	0.5	0.72	0.7	45	-0.18	9	6.8	-2.5	445.0	-12.0
2019.10.07 12:00:00	0.4	0.73	0.62	8	-0.17	9	5.6	-3.4	410.0	-11.0
2019.10.09 01:00:00	0.3	0.83	0.58	16	-0.2	9	9.0	-6.6	412.0	-15.0
2019.10.09 20:00:00	0.8	0.98	0.79	6	-0.19	9	11.4	-3.2	516.0	-28.0
2019.10.12 19:00:00	0.6	1.3	0.83	40	-0.29	9	5.2	-3.1	382.0	-9.0
2019.10.14 14:00:00	0.8	1.29	1.06	29	-0.21	9	8.0	-5.3	427.0	-9.0
2019.10.17 15:00:00	0.6	0.95	0.94	14	-0.25	9	5.5	-4.5	392.0	-12.0
2019.10.23 12:00:00	0.4	0.98	1.12	17	-0.29	9	4.0	-1.7	355.0	-46.0
2019.10.24 08:00:00	1.0	0.8	0.96	68	-0.3	9	11.7	-9.1	650.0	-46.0
2019.10.28 15:00:00	0.3	1.07	0.48	5	-0.25	9	5.4	-3.2	496.0	-30.0
2019.10.29 19:00:00	0.9	1.07	0.41	23	-0.44	9	12.8	-6.8	412.0	-19.0
2019.10.30 22:00:00	0.8	1.71	0.8	36	-0.29	9	14.6	-3.5	441.0	-19.0
2019.11.02 22:00:00	0.4	1.32	0.67	5	-0.21	9	6.4	-2.7	349.0	-12.0
2019.11.04 07:00:00	0.6	0.69	0.67	2	-0.23	9	7.3	-1.8	416.0	-13.0
2019.11.06 22:00:00	0.5	0.84	0.54	6	-0.26	9	4.9	-2.7	427.0	-14.0
2019.11.10 06:00:00	0.4	1.0	0.68	11	-0.3	9	4.5	-2.5	319.0	-23.0
2019.11.10 21:00:00	1.0	1.15	0.91	50	-0.32	9	12.2	-9.9	374.0	-23.0
2019.11.13 02:00:00	0.5	1.0	0.72	9	-0.25	9	8.3	-2.5	351.0	-8.0
2019.11.15 13:00:00	0.4	0.73	0.6	8	-0.27	9	5.8	-1.7	376.0	-14.0
2019.11.16 13:00:00	0.7	0.75	0.73	19	-0.36	9	9.0	-4.3	457.0	-8.0
2019.11.20 15:00:00	1.1	2.47	1.03	11	-0.54	9	9.0	-2.6	483.0	-20.0
2019.11.21 13:00:00	0.6	1.32	0.63	29	-0.23	9	11.4	-4.1	597.0	-21.0
2019.11.23 13:00:00	0.4	0.65	0.28	67	-0.19	9	8.8	-2.2	527.0	-21.0
2019.11.29 15:00:00	1.0	0.61	0.43	32	-0.24	9	6.8	-4.1	401.0	-6.0
2019.12.03 22:00:00	0.6	0.52	0.42	1	-0.16	9	5.3	-4.4	390.0	-6.0
2019.12.07 07:00:00	1.0	0.67	0.42	51	-0.29	9	5.8	-3.2	375.0	-7.0
2019.12.09 20:00:00	1.0	0.88	0.34	36	-0.39	9	8.0	-3.5	450.0	-7.0
2019.12.14 12:00:00	0.8	0.7	0.33	56	-0.47	9	7.9	-3.3	413.0	-1.0
2019.12.17 23:00:00	0.9	0.74	0.3	32	-0.18	9	9.5	-4.8	540.0	-7.0
2019.12.23 23:00:00	0.4	0.78	0.94	17	-0.12	9	5.4	-2.0	350.0	-14.0
2019.12.25 06:00:00	0.6	0.86	0.55	54	-0.32	9	8.3	-3.4	408.0	-6.0
2019.12.29 19:00:00	0.4	0.78	0.49	28	-0.18	9	7.8	-3.8	339.0	-7.0
